algo_name,task,dataset,accuracy,cross_domain,efficiency,learnability,autonomy,capability,stability,safety,train_time_s,accuracy_norm,cross_domain_norm,efficiency_norm,autonomy_norm,capability_norm,stability_norm,safety_norm,learnability_norm,final_score,pass,fail_reason
ResNet18_CIFAR10_8dims,classification,cifar10,0.5245,0.9956148713060058,7575.496787047724,0.6943851286939944,0.0,0.9761677788369876,0.8759771210676837,0.5715,256.7028934955597,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6500000000000001,True,
ResNet34_CIFAR10_8dims,classification,cifar10,0.3377,1.005922416345869,4309.599939249731,0.7401687888658574,0.0,1.0290198400947586,0.8972460763991709,0.4915,304.10784554481506,0.1962134251290877,1.0,0.0,1.0,1.0,0.2224601067908181,0.4539249146757679,0.628646482487468,0.3708204282870923,True,
MobileNetV2_CIFAR10_8dims,classification,cifar10,0.2921,0.995891817870592,4400.005638606622,0.8176737418692228,0.0,1.0133515919205751,0.9715850736049296,0.425,285.42738151550293,0.0,0.026868334168334996,0.027681737534927493,1.0,0.7035451825092309,1.0,0.0,0.0,0.25968403800662376,True,
