algo_name,task,dataset,accuracy,cross_domain,efficiency,learnability,autonomy,capability,stability,safety,train_time_s
ResNet18_CIFAR10_8dims,classification,cifar10,0.5245,0.9956148713060058,7575.496787047724,0.6943851286939944,0.0,0.9761677788369876,0.8759771210676837,0.5715,256.7028934955597
ResNet34_CIFAR10_8dims,classification,cifar10,0.3377,1.005922416345869,4309.599939249731,0.7401687888658574,0.0,1.0290198400947586,0.8972460763991709,0.4915,304.10784554481506
MobileNetV2_CIFAR10_8dims,classification,cifar10,0.2921,0.995891817870592,4400.005638606622,0.8176737418692228,0.0,1.0133515919205751,0.9715850736049296,0.425,285.42738151550293
ShuffleNetV2_CIFAR10_8dims,classification,cifar10,0.4378,0.9952032891731384,8846.98115222312,0.7036432160804019,0.0,0.974189127455459,0.8534719049794426,0.565,442.0118396282196
ResNet18_CIFAR10_8dims,classification,cifar10,0.5028,1.001988862370724,10923.946816684247,0.7498309466984884,0.0,0.994431185361973,0.927903739061257,0.6559268098647573,252.2510368824005
ResNet18_CIFAR10_8dims,classification,cifar10,0.8628,0.9232730644413537,9808.83741662274,0.0,0.0,0.9990727862772368,0.7833796940194714,0.0,0.0
